iter	Passed	Remaining
160	588	3066
161	591	3057
162	593	3048
163	596	3039
164	598	3030
165	601	3020
166	603	3011
167	606	3002
168	608	2993
169	621	3035
170	632	3067
171	641	3086
172	643	3077
173	648	3077
174	650	3067
175	653	3058
176	655	3049
177	658	3040
178	661	3031
179	663	3022
180	666	3013
181	668	3005
182	671	2997
183	673	2988
184	676	2980
185	679	2971
186	681	2963
187	684	2955
188	686	2947
189	689	2940
190	692	2932
191	694	2924
192	697	2916
193	700	2908
194	702	2900
195	705	2892
196	707	2885
197	734	2974
198	737	2968
199	740	2960
200	742	2952
201	745	2944
202	747	2936
203	750	2928
204	752	2920
205	755	2912
206	758	2904
207	760	2895
208	763	2888
209	765	2880
210	768	2873
211	770	2865
212	773	2857
213	776	2850
214	778	2842
215	781	2835
216	783	2828
217	786	2821
218	788	2813
219	791	2805
220	793	2798
221	796	2791
222	799	2783
223	801	2776
224	804	2769
225	806	2762
226	813	2769
227	822	2784
228	834	2809
229	839	2809
230	841	2802
231	844	2795
232	847	2789
233	849	2782
234	852	2774
235	855	2768
236	857	2761
237	860	2753
238	862	2746
239	865	2739
240	867	2732
241	870	2726
242	873	2720
243	876	2714
244	878	2708
245	881	2701
246	884	2695
247	886	2688
248	889	2682
249	892	2676
250	894	2669
251	897	2663
252	899	2656
253	902	2650
254	905	2644
255	915	2661
256	929	2686
257	938	2699
258	941	2693
259	944	2687
260	946	2680
261	949	2674
262	951	2667
263	954	2661
264	957	2654
265	959	2648
266	962	2642
267	965	2635
268	967	2629
269	970	2623
270	972	2617
271	975	2610
272	978	2604
273	980	2598
274	983	2592
275	986	2586
276	988	2580
277	991	2574
278	994	2568
279	996	2563
280	999	2556
281	1001	2550
282	1004	2544
283	1010	2546
284	1021	2561
285	1027	2564
286	1035	2572
287	1038	2567
288	1041	2561
289	1043	2555
290	1046	2549
291	1049	2543
292	1051	2537
293	1054	2531
294	1056	2525
295	1059	2520
296	1062	2514
297	1064	2508
298	1067	2502
299	1069	2496
300	1072	2490
301	1075	2484
302	1077	2478
303	1080	2473
304	1082	2467
305	1085	2461
306	1088	2456
307	1090	2450
308	1093	2444
309	1095	2438
310	1098	2433
311	1100	2427
312	1103	2422
313	1107	2420
314	1111	2418
315	1115	2414
316	1119	2411
317	1122	2406
318	1126	2404
319	1130	2401
320	1133	2398
321	1137	2395
322	1141	2391
323	1144	2387
324	1147	2382
325	1149	2377
326	1152	2371
327	1154	2366
328	1157	2360
329	1160	2355
330	1162	2349
331	1165	2344
332	1167	2339
333	1170	2334
334	1173	2329
335	1177	2326
336	1179	2321
337	1182	2315
338	1185	2310
339	1187	2305
340	1190	2300
341	1192	2295
342	1195	2289
343	1198	2285
344	1201	2281
345	1205	2278
346	1209	2275
347	1212	2272
348	1216	2269
349	1220	2266
350	1224	2263
351	1228	2261
352	1232	2258
353	1236	2256
354	1240	2253
355	1244	2250
356	1247	2246
357	1249	2240
358	1252	2235
359	1254	2230
360	1257	2225
361	1259	2220
362	1262	2215
363	1265	2210
364	1267	2205
365	1270	2201
366	1273	2196
367	1275	2191
368	1278	2186
369	1281	2181
370	1283	2176
371	1286	2171
372	1288	2166
373	1291	2162
374	1294	2157
375	1296	2152
376	1299	2147
377	1302	2142
378	1305	2139
379	1309	2135
380	1312	2132
381	1315	2128
382	1318	2124
383	1322	2121
384	1326	2118
385	1329	2115
386	1333	2112
387	1336	2108
388	1340	2104
389	1343	2101
390	1346	2097
391	1349	2092
392	1351	2087
393	1354	2083
394	1357	2078
395	1359	2073
396	1362	2069
397	1364	2064
398	1367	2059
399	1370	2055
400	1372	2050
401	1375	2045
402	1377	2040
403	1380	2036
404	1382	2031
405	1385	2027
406	1388	2022
407	1390	2017
408	1393	2013
409	1395	2008
410	1398	2004
411	1401	2000
412	1405	1997
413	1408	1994
414	1411	1990
415	1415	1987
416	1418	1982
417	1425	1984
418	1428	1980
419	1431	1976
420	1434	1973
421	1437	1969
422	1440	1965
423	1444	1961
424	1447	1957
425	1450	1953
426	1452	1949
427	1455	1945
428	1458	1940
429	1460	1936
430	1463	1931
431	1465	1927
432	1468	1922
433	1471	1918
434	1473	1914
435	1476	1909
436	1479	1906
437	1482	1901
438	1484	1897
439	1487	1892
440	1489	1888
441	1492	1883
442	1494	1879
443	1497	1875
444	1500	1870
445	1502	1866
446	1505	1862
447	1507	1857
448	1510	1853
449	1513	1849
450	1515	1845
451	1518	1841
452	1521	1836
453	1523	1832
454	1526	1828
455	1529	1824
456	1531	1820
457	1537	1818
458	1539	1814
459	1542	1810
460	1545	1806
461	1547	1802
462	1550	1798
463	1553	1794
464	1555	1790
465	1558	1785
466	1561	1781
467	1564	1778
468	1567	1775
469	1571	1772
470	1574	1768
471	1577	1764
472	1580	1760
473	1582	1756
474	1585	1752
475	1588	1748
476	1590	1744
477	1593	1739
478	1595	1735
479	1600	1733
480	1609	1736
481	1615	1736
482	1619	1733
483	1622	1729
484	1625	1726
485	1628	1722
486	1631	1719
487	1634	1715
488	1637	1711
489	1640	1707
490	1642	1702
491	1645	1698
492	1647	1694
493	1650	1690
494	1653	1686
495	1655	1682
496	1658	1678
497	1661	1674
498	1663	1670
499	1666	1666
500	1668	1662
501	1671	1658
502	1674	1654
503	1676	1650
504	1679	1646
505	1681	1642
506	1684	1637
507	1686	1633
508	1689	1629
509	1692	1625
510	1695	1622
511	1698	1618
512	1701	1615
513	1704	1611
514	1707	1607
515	1710	1604
516	1713	1601
517	1717	1597
518	1720	1594
519	1724	1591
520	1729	1590
521	1733	1587
522	1738	1585
523	1741	1581
524	1743	1577
525	1746	1574
526	1749	1570
527	1751	1566
528	1754	1562
529	1757	1558
530	1759	1554
531	1762	1550
532	1764	1546
533	1767	1542
534	1769	1538
535	1772	1534
536	1774	1530
537	1777	1526
538	1780	1523
539	1783	1519
540	1785	1515
541	1788	1511
542	1791	1507
543	1794	1503
544	1797	1500
545	1800	1497
546	1803	1493
547	1806	1490
548	1811	1488
549	1818	1488
550	1825	1487
551	1828	1483
552	1831	1480
553	1834	1476
554	1836	1472
555	1839	1468
556	1842	1465
557	1844	1461
558	1847	1457
559	1849	1453
560	1852	1449
561	1855	1445
562	1857	1442
563	1860	1438
564	1863	1434
565	1865	1430
566	1868	1426
567	1870	1423
568	1873	1419
569	1876	1415
570	1878	1411
571	1881	1407
572	1883	1403
573	1886	1399
574	1888	1396
575	1891	1392
576	1894	1388
577	1897	1385
578	1902	1383
579	1905	1379
580	1908	1376
581	1914	1375
582	1920	1373
583	1924	1370
584	1927	1367
585	1930	1363
586	1933	1360
587	1935	1356
588	1938	1352
589	1941	1348
590	1943	1345
591	1946	1341
592	1949	1337
593	1951	1333
594	1954	1330
595	1956	1326
596	1959	1322
597	1962	1318
598	1964	1315
599	1967	1311
600	1969	1307
601	1972	1303
602	1974	1300
603	1977	1296
604	1980	1292
605	1982	1289
606	1985	1285
607	1987	1281
608	1990	1277
609	1993	1274
610	1997	1271
611	2001	1268
612	2014	1271
613	2017	1268
614	2020	1264
615	2023	1261
616	2026	1257
617	2029	1254
618	2031	1250
619	2034	1246
620	2037	1243
621	2039	1239
622	2042	1235
623	2044	1232
624	2047	1228
625	2050	1224
626	2052	1221
627	2055	1217
628	2058	1213
629	2060	1210
630	2063	1206
631	2066	1203
632	2068	1199
633	2071	1195
634	2074	1192
635	2076	1188
636	2079	1184
637	2081	1181
638	2084	1177
639	2087	1174
640	2090	1170
641	2101	1171
642	2109	1171
643	2113	1168
644	2116	1164
645	2119	1161
646	2122	1158
647	2125	1154
648	2128	1151
649	2130	1147
650	2133	1143
651	2135	1140
652	2138	1136
653	2141	1132
654	2143	1129
655	2146	1125
656	2148	1121
657	2151	1118
658	2154	1114
659	2156	1111
660	2159	1107
661	2162	1103
662	2164	1100
663	2167	1096
664	2169	1093
665	2172	1089
666	2175	1086
667	2177	1082
668	2180	1078
669	2183	1075
670	2185	1071
671	2190	1069
672	2198	1068
673	2203	1065
674	2208	1063
675	2211	1059
676	2215	1056
677	2218	1053
678	2221	1050
679	2224	1047
680	2227	1043
681	2233	1041
682	2236	1037
683	2238	1034
684	2241	1030
685	2244	1027
686	2246	1023
687	2249	1020
688	2251	1016
689	2254	1012
690	2257	1009
691	2259	1005
692	2262	1002
693	2264	998
694	2267	995
695	2270	991
696	2272	987
697	2275	984
698	2277	980
699	2280	977
700	2282	973
701	2285	970
702	2288	966
703	2293	964
704	2296	961
705	2300	958
706	2306	955
707	2311	953
708	2315	950
709	2321	948
710	2324	944
711	2327	941
712	2329	937
713	2332	934
714	2334	930
715	2337	927
716	2339	923
717	2342	920
718	2345	916
719	2347	913
720	2350	909
721	2353	906
722	2355	902
723	2358	898
724	2360	895
725	2363	891
726	2365	888
727	2368	884
728	2371	881
729	2373	877
730	2376	874
731	2378	870
732	2381	867
733	2384	863
734	2388	861
735	2397	859
736	2410	860
737	2420	859
738	2423	856
739	2426	852
740	2430	849
741	2433	845
742	2435	842
743	2438	838
744	2440	835
745	2443	831
746	2445	828
747	2448	824
748	2450	821
749	2453	817
750	2456	814
751	2458	810
752	2461	807
753	2463	803
754	2466	800
755	2469	796
756	2471	793
757	2474	789
758	2476	786
759	2479	782
760	2481	779
761	2485	776
762	2490	773
763	2493	770
764	2496	766
765	2499	763
766	2501	759
767	2504	756
768	2507	753
769	2509	749
770	2512	746
771	2515	742
772	2517	739
773	2520	735
774	2522	732
775	2525	729
776	2528	725
777	2530	722
778	2533	718
779	2536	715
780	2538	711
781	2541	708
782	2544	705
783	2546	701
784	2549	698
785	2551	694
786	2554	691
787	2556	687
788	2559	684
789	2562	681
790	2564	677
791	2567	674
792	2570	670
793	2572	667
794	2575	664
795	2578	660
796	2580	657
797	2583	653
798	2585	650
799	2588	647
800	2591	643
801	2593	640
802	2596	636
803	2598	633
804	2601	630
805	2604	626
806	2606	623
807	2609	620
808	2612	616
809	2614	613
810	2617	609
811	2619	606
812	2622	603
813	2625	599
814	2627	596
815	2630	593
816	2632	589
817	2635	586
818	2638	583
819	2640	579
820	2643	576
821	2645	572
822	2648	569
823	2650	566
824	2653	562
825	2656	559
826	2658	556
827	2661	552
828	2663	549
829	2666	546
830	2669	542
831	2671	539
832	2674	536
833	2677	532
834	2679	529
835	2682	526
836	2684	522
837	2687	519
838	2689	516
839	2692	512
840	2694	509
841	2697	506
842	2700	502
843	2702	499
844	2705	496
845	2707	492
846	2710	489
847	2713	486
848	2715	483
849	2718	479
850	2721	476
851	2723	473
852	2726	469
853	2729	466
854	2731	463
855	2734	459
856	2736	456
857	2739	453
858	2742	450
859	2744	446
860	2747	443
861	2750	440
862	2752	437
863	2755	433
864	2758	430
865	2764	427
866	2766	424
867	2769	421
868	2772	417
869	2774	414
870	2777	411
871	2780	408
872	2782	404
873	2785	401
874	2788	398
875	2791	395
876	2795	392
877	2798	388
878	2801	385
879	2809	383
880	2818	380
881	2827	378
882	2830	375
883	2833	371
884	2837	368
885	2839	365
886	2842	362
887	2845	358
888	2848	355
889	2850	352
890	2853	349
891	2855	345
892	2858	342
893	2861	339
894	2863	335
895	2866	332
896	2869	329
897	2871	326
898	2874	322
899	2877	319
900	2883	316
901	2890	314
902	2896	311
903	2901	308
904	2908	305
905	2914	302
906	2919	299
907	2921	296
908	2924	292
909	2926	289
910	2929	286
911	2932	282
912	2934	279
913	2937	276
914	2939	273
915	2942	269
916	2945	266
917	2948	263
918	2951	260
919	2953	256
920	2956	253
921	2959	250
922	2962	247
923	2965	243
924	2968	240
925	2970	237
926	2973	234
927	2977	231
928	2983	228
929	2988	224
930	2995	222
931	3000	218
932	3005	215
933	3009	212
934	3014	209
935	3017	206
936	3019	203
937	3022	199
938	3025	196
939	3028	193
940	3031	190
941	3033	186
942	3037	183
943	3040	180
944	3042	177
945	3045	173
946	3048	170
947	3050	167
948	3053	164
949	3055	160
950	3058	157
951	3062	154
952	3065	151
953	3068	147
954	3070	144
955	3073	141
956	3076	138
957	3079	135
958	3083	131
959	3086	128
960	3090	125
961	3096	122
962	3099	119
963	3102	115
964	3104	112
965	3107	109
966	3109	106
967	3112	102
968	3114	99
969	3117	96
970	3120	93
971	3122	89
972	3125	86
973	3127	83
974	3130	80
975	3133	77
976	3135	73
977	3138	70
978	3141	67
979	3143	64
980	3146	60
981	3149	57
982	3151	54
983	3154	51
984	3156	48
985	3159	44
986	3161	41
987	3164	38
988	3167	35
989	3170	32
990	3172	28
991	3175	25
992	3178	22
993	3180	19
994	3183	15
995	3186	12
996	3188	9
997	3191	6
998	3193	3
999	3196	0
