,MOFname,volume [A^3],weight [u],surface_area [m^2/g],void_fraction,void_volume [cm^3/g],functional_groups,metal_linker,organic_linker1,organic_linker2,topology,CO2/N2_selectivity,heat_adsorption_CO2_P0.15bar_T298K [kcal/mol],cif_filepath,_audit_creation_date,_symmetry_space_group_name_H-M,_symmetry_Int_Tables_number,_space_group_crystal_system,_cell_length_a,_cell_length_b,_cell_length_c,_cell_angle_alpha,_cell_angle_beta,_cell_angle_gamma,_cell_volume,mof_convex_hull_area,mof_convex_hull_volume,mof_convex_hull_npoints,mof_convex_hull_nsimplex,partial_charge_mean,partial_charge_median,partial_charge_std,bond_type_countS,bond_type_countA,bond_type_countT,bond_type_countD,bond_type_countAm
16,mof_unit_pretest_16,1043.078308,587.97836,1774.18,0.2609599999999999,0.2787999999999999,Cl,3,10,23,pcu,13.89850112,5.212527,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_16.cif,2012-12-10T16:54:53-0500,P1,1,triclinic,7.770036,8.577988,15.723476,90.843421,85.844526,93.634614,1043.07830825,2.5959494975363744,0.3566432114196268,46,48,-2.1739130435407733e-08,0.110213,0.4823329071473755,41,8,2.0,2.0,0.0
17,mof_unit_pretest_17,1148.410429,580.49356,2536.87,0.3095899999999999,0.3688,NH2-Me,2,11,14,pcu,11.39964462,4.847198000000001,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_17.cif,2012-10-26T21:21:07-0400,P1,1,triclinic,10.835943,10.932418,9.697137,90.928454,91.018656,89.747714,1148.41042942,2.253091400331108,0.26391506966450373,54,40,1.8518518520079014e-08,0.021054,0.3380986541756541,39,19,0.0,4.0,0.0
18,mof_unit_pretest_18,3756.862488,1165.90236,3712.31,0.4831399999999999,0.9375,Pr-HCO,3,18,26,pcu,11.00255867,5.209406,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_18.cif,2012-12-10T18:35:28-0500,P1,1,triclinic,14.853714,15.393299,16.829574,92.113984,98.829519,98.190124,3756.86248847,2.7225094100224427,0.3616307187256232,134,54,-2.985074627282919e-08,0.0957925,0.35057465346442346,84,62,0.0,3.0,0.0
19,mof_unit_pretest_19,2873.520984,1107.9749800000002,3478.72,0.4154199999999999,0.6488,Et-HCO,2,4,29,pcu,14.22726006,4.948911,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_19.cif,2012-12-10T19:07:01-0500,P1,1,triclinic,27.812892,10.831816,9.538392,89.7556,89.860803,90.211819,2873.52098355,2.524843969394816,0.31355203474355287,108,48,2.7777777774464608e-08,0.041163000000000005,0.3561434298323489,62,64,0.0,1.0,0.0
20,mof_unit_pretest_20,1821.909507,1283.711,1247.59,0.2167699999999999,0.1852999999999999,SO3H-OH,3,4,7,pcu,32.82573611,6.621175,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_20.cif,2012-12-10T20:44:02-0500,P1,1,triclinic,17.085772,10.767146,9.926268,90.318141,91.173164,93.673176,1821.90950702,2.811262349478603,0.3754831078260834,94,62,-5.319148936027896e-08,0.0319105,0.4148414089180517,58,32,1.0,14.0,0.0
21,mof_unit_pretest_21,2492.1623050000003,1059.35664,3114.67,0.4329199999999999,0.6132999999999998,NO2,3,1,28,pcu,8.364191619999998,4.905192,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_21.cif,2013-03-05T16:12:25-0500,P1,1,triclinic,10.743062,9.917516,23.411989,90.027428,92.435248,90.088541,2492.1623046,2.2797868688238285,0.28039010039345896,86,56,-1.162790698740621e-08,-0.0616285,0.3946968034437436,40,59,0.0,0.0,0.0
22,mof_unit_pretest_22,1347.684216,784.71544,1291.07,0.20065,0.2074999999999999,OEt-NH2,2,4,13,pcu,31.52642488,6.377837,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_22.cif,2012-12-10T18:58:44-0500,P1,1,triclinic,13.04174,10.85013,9.562914,90.630902,95.033522,90.955882,1347.68421577,3.1382644869337204,0.44674634079578546,81,62,-1.2345679010644718e-08,0.129186,0.4091952139131994,62,31,0.0,0.0,0.0
23,mof_unit_pretest_23,2264.969206,1495.88506,457.88,0.12567,0.1145999999999999,NO2-OPr,9,2,2,sra,33.87359855,6.402529,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_23.cif,2013-03-05T16:03:51-0500,P1,1,triclinic,6.951318,17.423112,19.789921,109.060335,90.788341,90.529434,2264.96920616,4.51769787917398,0.7460809029744767,148,64,-1.3513513523278987e-08,0.099947,0.43254335330708177,96,74,0.0,0.0,0.0
24,mof_unit_pretest_24,1212.656776,621.5006599999999,2353.16,0.30135,0.3541,Me,2,14,19,pcu,17.45588102,5.835593,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_24.cif,2012-12-10T17:20:26-0500,P1,1,triclinic,11.684153,10.77606,9.632421,89.771796,90.878393,90.071974,1212.65677587,2.2734276497172647,0.2700390186160443,53,36,0.0,-0.013211,0.4040304800329087,31,30,2.0,0.0,0.0
25,mof_unit_pretest_25,3993.131734000001,3266.17824,0.0,0.0738,0.0543,SO3H-Pr,4,1,11,acs,40.83383262,8.105341000000001,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_25.cif,2012-12-11T14:42:09-0500,P1,1,triclinic,19.187133,10.989489,18.937999,89.824333,90.147856,89.738219,3993.13173355,4.90261264743405,0.8428906320426993,292,80,-3.424657537766974e-09,0.030581999999999998,0.3737313647304769,214,108,0.0,12.0,0.0
26,mof_unit_pretest_26,2432.756583,1799.63768,1032.36,0.2005899999999999,0.1633,Br,9,18,19,sra,47.83305961,6.679682000000001,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_26.cif,2012-12-11T15:27:40-0500,P1,1,triclinic,23.199857,7.302259,15.106755,90.091508,108.089272,89.898098,2432.75658298,3.6003179318933762,0.47681025034898794,96,48,-4.166666667249075e-08,-0.056794000000000004,0.47732289496364766,50,58,4.0,0.0,0.0
27,mof_unit_pretest_27,1638.493106,978.31388,1497.16,0.2565399999999999,0.2586999999999999,H,9,4,11,sra,13.02054117,5.577853,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_27.cif,2012-12-11T16:56:17-0500,P1,1,triclinic,6.960334,14.534351,16.196881,90.433761,90.015541,90.023098,1638.49310643,3.9487213716467857,0.6064749267042234,82,42,1.2195121961724669e-08,-0.1110775,0.48178224468442005,64,34,0.0,2.0,0.0
28,mof_unit_pretest_28,1298.343461,709.260263,1740.33,0.2696799999999999,0.2973,F,3,4,16,pcu,16.26037363,5.46802,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_28.cif,2012-12-10T20:30:11-0500,P1,1,triclinic,9.872798,10.676703,13.126855,90.009363,69.771498,90.002811,1298.34346052,2.668257434682802,0.3460659672897836,64,44,3.124999998875555e-08,0.075439,0.4022074380081661,40,36,0.0,0.0,0.0
29,mof_unit_pretest_29,2002.451074,868.39342,2712.76,0.3866999999999999,0.537,NH2-HCO,3,14,27,pcu,11.75062397,4.967974,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_29.cif,2012-12-10T17:52:23-0500,P1,1,triclinic,19.012633,10.671353,9.877987,89.127263,89.076848,91.973656,2002.45107397,2.410890467254512,0.30192080891267253,80,46,1.249999999619611e-08,0.037372499999999996,0.3639173329652455,43,48,0.0,1.0,0.0
30,mof_unit_pretest_30,1534.629101,951.66213,1482.66,0.2255699999999999,0.2190999999999999,I-OEt,2,4,18,pcu,17.95802711,6.072034,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_30.cif,2012-10-26T21:24:47-0400,P1,1,triclinic,9.549191,10.83382,15.408804,89.813039,74.316274,90.632428,1534.62910137,3.205757408747553,0.4590932940969343,84,52,-3.5714285712669315e-08,0.0249915,0.2939422724113021,57,41,0.0,0.0,0.0
31,mof_unit_pretest_31,2033.553469,995.58428,2540.58,0.31956,0.3931,Me,12,1,10,bcu,25.39120983,5.803627,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_31.cif,2012-12-11T15:20:41-0500,P1,1,triclinic,12.912667,13.03564,15.234064,117.065477,63.444958,97.394365,2033.55346861,4.1784095500154566,0.677308123903102,94,64,7.44680851038e-08,0.0556425,0.21405157152053184,57,52,0.0,2.0,0.0
32,mof_unit_pretest_32,2776.2598350000003,1199.98268,3117.28,0.3657799999999999,0.5096,COOH-OMe,2,24,29,pcu,12.4541596,4.956232,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_32.cif,2012-12-10T18:23:16-0500,P1,1,triclinic,27.813653,10.606581,9.410978,89.747179,90.181425,89.841061,2776.25983513,2.6807564102267585,0.35317065290133726,114,72,8.771929828709166e-09,-0.025326,0.37985575324938525,85,52,0.0,2.0,0.0
33,mof_unit_pretest_33,920.860707,791.1949400000002,791.22,0.1735899999999999,0.1217,I-NHMe,2,5,13,pcu,19.18901518,6.3690370000000005,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_33.cif,2012-10-26T21:05:38-0400,P1,1,triclinic,13.051991,9.090326,7.799589,89.996371,95.67524,89.980576,920.860706555,2.4479408774212685,0.29752418334291447,44,32,-2.2727272725403032e-08,0.013697,0.39164199950560646,31,19,2.0,0.0,0.0
34,mof_unit_pretest_34,4529.021154,1287.85344,4701.36,0.4900899999999999,1.0379,OMe-OEt,3,25,27,pcu,12.9285465,5.32066,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_34.cif,2012-12-10T19:31:18-0500,P1,1,triclinic,19.25267,15.748639,14.937413,90.149563,90.229317,90.033392,4529.02115386,3.019763763240567,0.4414551267864471,142,80,-7.042253522111113e-09,0.152394,0.4137236707824234,130,26,4.0,0.0,0.0
35,mof_unit_pretest_35,1348.618265,996.19844,0.0,0.0991699999999999,0.0809,OH-Me,9,5,24,sra,27.13887544,6.894887,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_35.cif,2012-12-11T17:17:11-0500,P1,1,triclinic,6.941316,13.385592,14.696368,99.012226,89.828247,90.259482,1348.61826531,3.4479012902512864,0.5228515396068407,76,60,-3.947368419230555e-08,-0.126076,0.565064360706591,80,16,2.0,0.0,0.0
36,mof_unit_pretest_36,704.9624269999999,488.949783,1210.82,0.2193799999999999,0.1905,HCO-F,3,10,11,pcu,17.46808633,5.769334,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_36.cif,2012-12-10T16:47:53-0500,P1,1,triclinic,7.778544,8.573064,10.609266,90.248712,86.526605,93.377707,704.962426666,2.2178428118458906,0.2531036069841455,34,24,-2.941176470999347e-08,-0.022148,0.5660093034144188,25,8,0.0,6.0,0.0
37,mof_unit_pretest_37,2345.350561,1976.672576,511.79,0.10188,0.0728,NH2-OH,10,50,57,etb,25.36073055,6.365133,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_37.cif,2012-12-11T20:10:41-0500,P1,1,triclinic,8.407129,16.142486,18.769104,112.285378,90.993761,84.446084,2345.35056142,3.6516418525895973,0.5719164652442319,180,82,5.555555561266424e-09,0.026993999999999997,0.42577112178476956,152,44,0.0,11.0,0.0
38,mof_unit_pretest_38,5140.2653740000005,2575.1096,2450.29,0.36068,0.4335999999999999,NH2-Br,12,1,22,bcu,12.51165092,4.724266,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_38.cif,2012-12-11T15:35:22-0500,P1,1,triclinic,17.362817,24.23294,14.906878,90.290039,124.957543,89.491074,5140.26537441,4.227937416825276,0.7370029176383357,228,128,2.1929824564468816e-08,0.0359685,0.18563103650907553,154,116,0.0,0.0,0.0
39,mof_unit_pretest_39,2877.707458,1089.7238,3371.9,0.36291,0.5771,OPr-OEt,3,8,14,pcu,17.41426633,5.823179,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_39.cif,2012-12-10T21:28:54-0500,P1,1,triclinic,10.650636,16.124615,16.795304,87.196098,90.602949,92.668073,2877.70745803,3.0363982863111763,0.4307403647997319,122,56,8.196721311256103e-09,0.13285550000000002,0.40347001757183637,88,43,0.0,2.0,0.0
40,mof_unit_pretest_40,3602.187048,1759.70112,2413.59,0.2998299999999999,0.3695999999999999,OPr-Br,3,13,28,pcu,24.81433562,5.840558000000001,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_40.cif,2012-12-10T17:38:59-0500,P1,1,triclinic,12.033999,12.850101,23.374025,90.093532,87.099161,93.740805,3602.18704753,3.4911271030725537,0.5474509451850198,170,78,1.1764705881385098e-08,0.1512815,0.4197520728821323,124,61,0.0,0.0,0.0
41,mof_unit_pretest_41,899.183282,621.99964,0.0,0.13385,0.1165,NHMe-Cl,3,10,21,pcu,19.69229759,6.266769999999999,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_41.cif,2012-12-10T16:53:29-0500,P1,1,triclinic,7.853567,8.614841,13.584397,93.105151,78.732671,93.062702,899.183282009,3.2097642256756957,0.4610352070971537,50,44,1.3322676295501878e-17,0.1426945,0.4987579940721552,42,8,2.0,3.0,0.0
42,mof_unit_pretest_42,1123.08791,759.3437599999999,834.02,0.12587,0.1121,OH,3,4,9,pcu,59.69567745,6.895952,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_42.cif,2012-12-10T20:45:36-0500,P1,1,triclinic,10.6908,10.671529,9.844378,89.730887,90.29877,90.103374,1123.08791037,2.860788462980739,0.3979053182515044,73,64,2.7397260282364697e-08,0.040107,0.3846512134566107,47,38,0.0,0.0,0.0
43,mof_unit_pretest_43,1354.616724,645.56358,2364.14,0.31035,0.3921999999999999,OPr,2,11,16,pcu,13.79875321,5.292586,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_43.cif,2012-12-10T16:54:05-0500,P1,1,triclinic,9.678367,10.910724,13.455763,90.158536,72.431554,90.18997,1354.61672414,2.4079905686363845,0.28776383363432473,62,36,1.6129032259423658e-08,0.0835765,0.3959212839617073,43,24,0.0,4.0,0.0
44,mof_unit_pretest_44,2991.79617,1837.237078,990.93,0.14273,0.14,Et-F,9,16,23,sra,51.64056543,6.704681,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_44.cif,2012-12-11T15:12:42-0500,P1,1,triclinic,22.291566,7.014228,19.386807,90.351116,99.248069,89.685417,2991.79616966,4.655954074495602,0.7857444700368769,196,66,1.530612245111905e-08,0.1212255,0.4560049427748863,166,48,4.0,0.0,0.0
45,mof_unit_pretest_45,4149.367207,2021.33396,2226.72,0.2963799999999999,0.3664,HCO-OMe,4,6,17,acs,29.49546395,5.755008,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_45.cif,2012-12-11T16:08:37-0500,P1,1,triclinic,12.953546,13.285607,27.72562,95.119728,89.839312,119.066783,4149.36720731,4.116664097582227,0.6742397964055804,178,66,-5.617977526380274e-09,0.0042465,0.3330700400174906,102,99,6.0,2.0,0.0
46,mof_unit_pretest_46,3270.2097,2408.699558,580.98,0.1372599999999999,0.1121999999999999,F-NO2,9,17,18,sra,30.32731763,7.059143,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_46.cif,2013-03-05T15:49:56-0500,P1,1,triclinic,6.936632,19.945886,23.685848,93.09262,91.396303,88.4046,3270.20970036,4.538476249480823,0.7670687465354713,168,86,2.9761904750204493e-08,-0.1256565,0.5101868361303373,68,128,0.0,0.0,0.0
47,mof_unit_pretest_47,938.653499,571.390806,1686.1,0.25901,0.2561999999999999,F,2,4,5,pcu,15.12507064,5.455203,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_47.cif,2012-12-10T19:08:07-0500,P1,1,triclinic,9.076725,10.827968,9.550643,89.927361,89.979676,90.215515,938.653499255,2.105901150750186,0.2525700824055606,44,48,9.090909091927477e-08,-0.014560000000000002,0.4799371710808906,33,20,1.0,0.0,0.0
48,mof_unit_pretest_48,1242.33069,689.25392,1558.05,0.22741,0.2467999999999999,Ph,3,5,26,pcu,24.04554404,6.075003,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_48.cif,2012-12-10T20:49:46-0500,P1,1,triclinic,8.091808,8.921912,17.257964,90.277158,85.65366,90.008717,1242.33068975,2.8264958369401723,0.38751992777762523,62,32,-1.7906822977825105e-18,-0.0310365,0.38749076125356974,36,32,2.0,1.0,0.0
49,mof_unit_pretest_49,1127.804158,851.495362,921.56,0.1637599999999999,0.1305999999999999,F-HCO,2,4,4,pcu,25.23735653,6.745147,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_49.cif,2012-10-26T19:15:03-0400,P1,1,triclinic,10.88103,10.85444,9.552223,89.937896,91.329281,90.686326,1127.80415847,2.4597764450921504,0.3198916066226565,64,68,-1.56250000073882e-08,0.036408,0.41521089531934297,46,26,0.0,4.0,0.0
50,mof_unit_pretest_50,1765.70681,719.6469599999999,2821.79,0.40404,0.5969999999999999,Et,2,4,8,pcu,8.823012116000001,4.796126,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_50.cif,2012-12-10T19:09:32-0500,P1,1,triclinic,9.537964,10.843437,17.138154,89.102761,94.900481,90.681674,1765.70680978,2.2042139394968263,0.26414643930069687,70,54,2.8571428573439686e-08,0.12784,0.3942230882997585,49,32,0.0,1.0,0.0
51,mof_unit_pretest_51,2986.77669,1558.42402,1583.08,0.2157,0.249,CN-OPr,2,11,29,pcu,18.68721541,5.91585,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_51.cif,2012-12-10T17:00:42-0500,P1,1,triclinic,27.78737,11.022537,9.758781,89.906818,90.588455,92.124367,2986.77669038,3.8187873487587574,0.6061536317396907,166,66,1.80722891581494e-08,0.13476100000000002,0.38642262405328,117,52,8.0,4.0,0.0
52,mof_unit_pretest_52,11166.141209,7285.699359999999,1381.28,0.3160399999999999,0.2917,SO3H,3,15,19,nbo,27.95283637,6.29884,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_52.cif,2012-12-10T17:19:41-0500,P1,1,triclinic,21.821405,21.821492,23.450972,90.268489,89.677515,89.554198,11166.1412085,4.674044481496051,0.8418737843479274,468,90,1.0683760694743123e-08,-0.030670000000000003,0.41786116038999893,236,176,8.0,96.0,0.0
53,mof_unit_pretest_53,3204.377551,1076.15524,3618.77,0.4119999999999999,0.7388,Me-NHMe,2,3,5,pcu,13.86140025,5.322178,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_53.cif,2012-12-10T18:54:27-0500,P1,1,triclinic,19.423766,18.198132,9.068207,90.003363,91.444193,90.015285,3204.37755079,2.4372664215121653,0.3241609319100402,128,66,-2.3437499996337152e-08,0.15301949999999997,0.3977660941048903,95,44,1.0,0.0,0.0
54,mof_unit_pretest_54,3930.736319,2932.93528,0.0,0.1420799999999999,0.1147,Br,4,11,15,acs,41.80173198,6.872482000000001,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_54.cif,2012-12-11T14:04:21-0500,P1,1,triclinic,19.00679,10.988802,18.820965,89.754325,90.588872,89.951899,3930.736319,4.5435972562973355,0.7779560205586828,212,82,-1.8867924530939207e-08,-0.0707805,0.40869865688273843,150,80,0.0,20.0,0.0
55,mof_unit_pretest_55,2060.870761,1057.616053,1686.12,0.2341699999999999,0.2747999999999999,OPr-F,3,13,21,pcu,20.37448745,5.770457,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_55.cif,2012-12-10T17:33:08-0500,P1,1,triclinic,11.993737,12.862116,13.600487,90.997449,79.601587,92.918282,2060.8707606,3.3100836707807524,0.4983304763187333,114,66,-8.771929819944248e-09,0.154776,0.4648264693177575,90,30,2.0,1.0,0.0
56,mof_unit_pretest_56,2002.77891,968.6164,2332.88,0.36112,0.4496999999999999,NO2,2,4,27,pcu,16.78926045,4.87366,tmlcc-2021/mof_cif_pretest/mof_unit_pretest_56.cif,2013-03-05T16:32:50-0500,P1,1,triclinic,19.322996,10.851304,9.553022,90.512165,90.267453,90.795151,2002.77891002,2.314196502192131,0.2907857978007452,78,54,1.0256410255637664e-07,-0.027930999999999997,0.3669852413074006,43,48,0.0,0.0,0.0
